#TYPE System.Management.Automation.PSCustomObject
"Port","Protocol","H1","Description","Status"
"8088","TCP","","Asterisk (PBX) Web Configuration","Port is not officialy registered by IANA for this application"
"","","","utility (GUI Addon)",""
"8089","TCP","","Splunk Daemon","Port is not officialy registered by IANA for this application"
"8090","TCP","","HTTP Alternate","Port is not officialy registered by IANA for this application"
"","","","(http_alt_alt)?used as an alternative to port 8080",""
"8100","TCP","","Console Gateway License","Port is not officialy registered by IANA for this application"
"","","","Verification",""
"8116","","UDP","Check Point Cluster Control","Port is not officialy registered by IANA for this application"
"","","","Protocol",""
"8118","TCP","","Privoxy?advertisement-filtering","Port is officialy registered by IANA for this application"
"","","","Web proxy",""
"8123","TCP","","Polipo Web proxy","Port is officialy registered by IANA for this application"
"8192","TCP","","Sophos Remote Management System","Port is not officialy registered by IANA for this application"
"8193","TCP","","Sophos Remote Management System","Port is not officialy registered by IANA for this application"
"8194","TCP","","Sophos Remote Management System","Port is not officialy registered by IANA for this application"
"8200","TCP","","GoToMyPC","Port is not officialy registered by IANA for this application"
"8222","TCP","","VMware Server Management User","Port is not officialy registered by IANA for this application"
"","","","Interface 73 (insecure Web",""
"","","","interface). 74 See also port 8333",""
"8243","TCP","UDP","HTTPS listener for Apache","Port is officialy registered by IANA for this application"
"","","","Synapse 75",""
"8280","TCP","UDP","HTTP listener for Apache","Port is officialy registered by IANA for this application"
"","","","Synapse 75",""
"8291","TCP","","Winbox?Default on a","Port is not officialy registered by IANA for this application"
"","","","MikroTik RouterOS for a Windows application used to administer MikroTik",""
"","","","RouterOS",""
"8303","","UDP","Teeworlds Server","Port is not officialy registered by IANA for this application"
"8331","TCP","","MultiBit, 4","Port is not officialy registered by IANA for this application"
"8332","TCP","","Bitcoin JSON-RPC server 76","Port is not officialy registered by IANA for this application"
"8333","TCP","","Bitcoin 77","Port is not officialy registered by IANA for this application"
"8333","TCP","","VMware Server Management User","Port is not officialy registered by IANA for this application"
"","","","Interface 73 (secure Web",""
"","","","interface). 74 See also port 8222",""
"8400","TCP","UDP","cvp, Commvault Unified Data","Port is officialy registered by IANA for this application"
"","","","Management",""
"8442","TCP","UDP","CyBro A-bus, Cybrotech Ltd.","Port is officialy registered by IANA for this application"
"8443","TCP","","SW Soft Plesk Control Panel,","Port is not officialy registered by IANA for this application"
"","","","Apache Tomcat SSL, Promise WebPAM SSL, McAfee ePolicy Orchestrator (ePO)",""
"8484","TCP","UDP","MapleStory","Port is not officialy registered by IANA for this application"
"8500","TCP","UDP","ColdFusion Macromedia/Adobe","Port is not officialy registered by IANA for this application"
"","","","ColdFusion default and Duke Nukem 3D?default",""
"8501","TCP","","5","Port is not officialy registered by IANA for this application"
"","","","DukesterX ?default",""
"8601","TCP","","Wavestore CCTV protocol 6","Port is not officialy registered by IANA for this application"
"8602","TCP","UDP","Wavestore Notification protocol","Port is not officialy registered by IANA for this application"
"8642","TCP","","Lotus Traveller","Port is not officialy registered by IANA for this application"
"8691","TCP","","Ultra Fractal default server","Port is not officialy registered by IANA for this application"
"","","","port for distributing calculations over network computers",""
"8701","","UDP","SoftPerfect Bandwidth Manager","Port is not officialy registered by IANA for this application"
"8702","","UDP","SoftPerfect Bandwidth Manager","Port is not officialy registered by IANA for this application"
"8767","","UDP","TeamSpeak?default","Port is not officialy registered by IANA for this application"
"8768","","UDP","TeamSpeak?alternate","Port is not officialy registered by IANA for this application"
"8840","TCP","","Opera Unite server","Port is not officialy registered by IANA for this application"
"8880","","UDP","cddbp-alt, CD DataBase (CDDB)","Port is officialy registered by IANA for this application"
"","","","protocol (CDDBP) alternate",""
"8880","TCP","","cddbp-alt, CD DataBase (CDDB)","Port is officialy registered by IANA for this application"
"","","","protocol (CDDBP) alternate",""
"8880","TCP","","WebSphere Application Server","Port is not officialy registered by IANA for this application"
"","","","SOAP connector default",""
"8880","TCP","","Win Media Streamer to Server","Port is not officialy registered by IANA for this application"
"","","","SOAP connector default",""
"8881","TCP","","Atlasz Informatics Research","Port is not officialy registered by IANA for this application"
"","","","Ltd 7 Secure Application Server",""
"8882","TCP","","Atlasz Informatics Research","Port is not officialy registered by IANA for this application"
"","","","Ltd 8 Secure Application Server",""
"8883","TCP","UDP","Secure MQ Telemetry Transport","Port is officialy registered by IANA for this application"
"","","","(MQTT over SSL)",""
"8887","TCP","","HyperVM HTTP","Port is officialy registered by IANA for this application"
"8888","TCP","","HyperVM HTTPS","Port is officialy registered by IANA for this application"
"8888","TCP","","Freenet HTTP","Port is not officialy registered by IANA for this application"
"8888","TCP","UDP","NewsEDGE server","Port is officialy registered by IANA for this application"
"8888","TCP","","Sun Answerbook dwhttpd server","Port is not officialy registered by IANA for this application"
"","","","(deprecated by docs.sun.com)",""
"8888","TCP","","GNUmp3d HTTP music streaming and","Port is not officialy registered by IANA for this application"
"","","","Web interface",""
"8888","TCP","","LoLo Catcher HTTP Web interface","Port is not officialy registered by IANA for this application"
"","","","(www.optiform.com)",""
"8888","TCP","","D2GS Admin Console Telnet","Port is not officialy registered by IANA for this application"
"","","","administration console for D2GS servers (Diablo 2)",""
"8888","TCP","","Earthland Relams 2 Server","Port is not officialy registered by IANA for this application"
"","","","(AU1_2)",""
"8888","TCP","","MAMP Server","Port is not officialy registered by IANA for this application"
"8889","TCP","","MAMP Server","Port is not officialy registered by IANA for this application"
"8889","TCP","","Earthland Relams 2 Server","Port is not officialy registered by IANA for this application"
"","","","(AU1_1)",""
"8983","TCP","","Default for Apache Solr 1.4","Port is not officialy registered by IANA for this application"
"9000","TCP","","Buffalo LinkSystem Web access","Port is not officialy registered by IANA for this application"
"9000","TCP","","DBGp","Port is not officialy registered by IANA for this application"
"9000","TCP","","SqueezeCenter web server &","Port is not officialy registered by IANA for this application"
"","","","streaming",""
"9000","","UDP","UDPCast","Port is not officialy registered by IANA for this application"
"9001","TCP","UDP","ETL Service Manager 78","Port is officialy registered by IANA for this application"
"9001","","","Microsoft Sharepoint Authoring","Port is not officialy registered by IANA for this application"
"","","","Environment",""
"9001","","","cisco-xremote router","Port is not officialy registered by IANA for this application"
"","","","configuration",""
"9001","","","Tor network default","Port is not officialy registered by IANA for this application"
"9001","TCP","","DBGp Proxy","Port is not officialy registered by IANA for this application"
"9009","TCP","UDP","Pichat Server?Peer to peer","Port is officialy registered by IANA for this application"
"","","","chat software",""
"9010","TCP","","TISERVICEMANAGEMENT Numara","Port is not officialy registered by IANA for this application"
"","","","Track-It!",""
"9020","TCP","","WiT WiT Services","Port is officialy registered by IANA for this application"
"9025","TCP","","WiT WiT Services","Port is officialy registered by IANA for this application"
"9030","TCP","","Tor often used","Port is not officialy registered by IANA for this application"
"9043","TCP","","WebSphere Application Server","Port is not officialy registered by IANA for this application"
"","","","Administration Console secure",""
"9050","TCP","","Tor","Port is not officialy registered by IANA for this application"
"9051","TCP","","Tor","Port is not officialy registered by IANA for this application"
"9060","TCP","","WebSphere Application Server","Port is not officialy registered by IANA for this application"
"","","","Administration Console",""
"9080","","UDP","glrpc, Groove Collaboration","Port is officialy registered by IANA for this application"
"","","","software GLRPC",""
"9080","TCP","","glrpc, Groove Collaboration","Port is officialy registered by IANA for this application"
"","","","software GLRPC",""
"9080","TCP","","WebSphere Application Server","Port is not officialy registered by IANA for this application"
"","","","HTTP Transport (port 1) default",""
"9090","TCP","","Webwasher, Secure Web, McAfee","Port is not officialy registered by IANA for this application"
"","","","Web Gateway ? Default Proxy Port",""
"9090","TCP","","Openfire Administration Console","Port is not officialy registered by IANA for this application"
"9090","TCP","","SqueezeCenter control (CLI)","Port is not officialy registered by IANA for this application"
"9091","TCP","","Openfire Administration Console","Port is not officialy registered by IANA for this application"
"","","","(SSL Secured)",""
"9091","TCP","","Transmission (BitTorrent client)","Port is not officialy registered by IANA for this application"
"","","","Web Interface",""
"9100","TCP","","PDL Data Stream","Port is officialy registered by IANA for this application"
"9101","TCP","UDP","Bacula Director","Port is officialy registered by IANA for this application"
"9102","TCP","UDP","Bacula File Daemon","Port is officialy registered by IANA for this application"
"9103","TCP","UDP","Bacula Storage Daemon","Port is officialy registered by IANA for this application"
"9105","TCP","UDP","Xadmin Control Daemon","Port is officialy registered by IANA for this application"
"9106","TCP","UDP","Astergate Control Daemon","Port is officialy registered by IANA for this application"
"9107","TCP","","Astergate-FAX Control Daemon","Port is officialy registered by IANA for this application"
"9110","","UDP","SSMP Message protocol","Port is not officialy registered by IANA for this application"
"9119","TCP","UDP","MXit Instant Messenger","Port is officialy registered by IANA for this application"
"9191","TCP","","Catamount Software ? PocketMoney","Port is not officialy registered by IANA for this application"
"","","","Sync",""
"9293","TCP","","Sony PlayStation RemotePlay","Port is not officialy registered by IANA for this application"
"9300","TCP","","IBM Cognos 8 SOAP Business","Port is not officialy registered by IANA for this application"
"","","","Intelligence and Performance Management",""
"9303","","UDP","D-Link Shareport Share storage","Port is not officialy registered by IANA for this application"
"","","","and MFP printers",""
"9306","TCP","","Sphinx Native API","Port is officialy registered by IANA for this application"
"9312","TCP","","Sphinx SphinxQL","Port is officialy registered by IANA for this application"
"9418","TCP","UDP","git, Git pack transfer service","Port is officialy registered by IANA for this application"
"9420","TCP","","MooseFS distributed file","Port is not officialy registered by IANA for this application"
"","","","system?master server to chunk servers",""
"9421","TCP","","MooseFS distributed file","Port is not officialy registered by IANA for this application"
"","","","system?master server to clients",""
"9422","TCP","","MooseFS distributed file","Port is not officialy registered by IANA for this application"
"","","","system?chunk servers to clients",""
"9535","TCP","UDP","mngsuite, LANDesk Management","Port is officialy registered by IANA for this application"
"","","","Suite Remote Control",""
"9536","TCP","UDP","laes-bf, IP Fabrics Surveillance","Port is officialy registered by IANA for this application"
"","","","buffering function",""
"9561","TCP","UDP","Network Time System Server","Port is not officialy registered by IANA for this application"
"9600","","UDP","Omron FINS, OMRON FINS PLC","Port is officialy registered by IANA for this application"
"","","","communication",""
"9675","TCP","UDP","Spiceworks Desktop, IT Helpdesk","Port is not officialy registered by IANA for this application"
"","","","Software",""
"9676","TCP","UDP","Spiceworks Desktop, IT Helpdesk","Port is not officialy registered by IANA for this application"
"","","","Software",""
"9695","","UDP","CCNx","Port is officialy registered by IANA for this application"
"9800","TCP","UDP","WebDAV Source","Port is officialy registered by IANA for this application"
"9800","","","WebCT e-learning portal","Port is not officialy registered by IANA for this application"
"9875","TCP","","Club Penguin Disney online game","Port is not officialy registered by IANA for this application"
"","","","for kids",""
"9898","","UDP","MonkeyCom","Port is officialy registered by IANA for this application"
"9898","TCP","","MonkeyCom","Port is officialy registered by IANA for this application"
"9898","TCP","","Tripwire?File Integrity","Port is not officialy registered by IANA for this application"
"","","","Monitoring Software",""
"9987","","UDP","TeamSpeak 3 server default","Port is not officialy registered by IANA for this application"
"","","","(voice) port (for the conflicting service see the IANA list)",""
"9996","TCP","UDP","The Palace ?The","Port is officialy registered by IANA for this application"
"","","","Palace? Virtual Reality Chat software.?5",""
"9998","TCP","UDP","The Palace ?The","Port is officialy registered by IANA for this application"
"","","","Palace? Virtual Reality Chat software.?5",""
"9999","","","Hydranode?edonkey2000","Port is not officialy registered by IANA for this application"
"","","","TELNET control",""
"9999","TCP","","Lantronix UDS-10/UDS100 79 RS-485 to Ethernet Converter TELNET","Port is not officialy registered by IANA for this application"
"","","","control",""
"9999","","","Urchin Web Analytics","Port is not officialy registered by IANA for this application"
"10000","","","Webmin?Web-based Linux","Port is not officialy registered by IANA for this application"
"","","","admin tool",""
"10000","","","BackupExec","Port is not officialy registered by IANA for this application"
"10000","","","Ericsson Account Manager (avim)","Port is not officialy registered by IANA for this application"
"10001","TCP","","Lantronix UDS-10/UDS100 80 RS-485 to Ethernet Converter default","Port is not officialy registered by IANA for this application"
"10008","TCP","UDP","Octopus Multiplexer, primary","Port is officialy registered by IANA for this application"
"","","","port for the CROMP protocol, which provides a platform-independent means for",""
"","","","communication of objects across a network",""
"10009","TCP","UDP","Cross Fire, a multiplayer online","Port is not officialy registered by IANA for this application"
"","","","First Person Shooter",""
"10010","TCP","","Open Object Rexx (ooRexx) rxapi","Port is officialy registered by IANA for this application"
"","","","daemon",""
"10017","","","AIX,NeXT, HPUX?rexd daemon","Port is not officialy registered by IANA for this application"
"","","","control",""
"10024","TCP","","Zimbra smtp mta ?to amavis from postfix","Port is not officialy registered by IANA for this application"
"10025","TCP","","Zimbra smtp mta ?back to postfix from amavis","Port is not officialy registered by IANA for this application"
"10050","TCP","UDP","Zabbix-Agent","Port is officialy registered by IANA for this application"
"10051","TCP","UDP","Zabbix-Trapper","Port is officialy registered by IANA for this application"
"10110","TCP","UDP","NMEA 0183 Navigational Data.","Port is officialy registered by IANA for this application"
"","","","Transport of NMEA 0183 sentences over TCP or UDP",""
"10113","TCP","UDP","NetIQ Endpoint","Port is officialy registered by IANA for this application"
"10114","TCP","UDP","NetIQ Qcheck","Port is officialy registered by IANA for this application"
"10115","TCP","UDP","NetIQ Endpoint","Port is officialy registered by IANA for this application"
"10116","TCP","UDP","NetIQ VoIP Assessor","Port is officialy registered by IANA for this application"
"10200","TCP","","FRISK Software International?s","Port is not officialy registered by IANA for this application"
"","","","fpscand virus scanning daemon for Unix platforms 81",""
"10200","TCP","","FRISK Software International?s","Port is not officialy registered by IANA for this application"
"","","","f-protd virus scanning daemon for Unix platforms 82",""
"10201?1020","TCP","","FRISK Software International?s","Port is not officialy registered by IANA for this application"
"","","","f-protd virus scanning daemon for Unix platforms 82",""
"10301","TCP","","VoiceIP-ACS UMP default device","Port is not officialy registered by IANA for this application"
"","","","provisioning endpoint",""
"10302","TCP","","VoiceIP-ACS UMP default device","Port is not officialy registered by IANA for this application"
"","","","provisioning endpoint (SSL)",""
"10308","","","Lock-on: Modern Air Combat","Port is not officialy registered by IANA for this application"
"10480","","","SWAT 4 Dedicated Server","Port is not officialy registered by IANA for this application"
"10823","","UDP","Farming Simulator 2011 Default","Port is not officialy registered by IANA for this application"
"","","","Server",""
"10891","TCP","","Jungle Disk (this port is opened","Port is not officialy registered by IANA for this application"
"","","","by the Jungle Disk Monitor service on the localhost)",""
"11001","TCP","UDP","metasys ( Johnson Controls","Port is not officialy registered by IANA for this application"
"","","","Metasys java AC control environment )",""
"11211","","","memcached","Port is not officialy registered by IANA for this application"
"11235","","","Savage:Battle for Newerth Server","Port is not officialy registered by IANA for this application"
"","","","Hosting",""
"11294","","","Blood Quest Online Server","Port is not officialy registered by IANA for this application"
"11371","","","OpenPGP HTTP key server","Port is officialy registered by IANA for this application"
"11576","","","IPStor Server management","Port is not officialy registered by IANA for this application"
"","","","communication",""
"12010","TCP","","ElevateDB default database","Port is not officialy registered by IANA for this application"
"","","","port 83",""
"12011","TCP","","Axence nVision","Port is not officialy registered by IANA for this application"
"12012","TCP","","Axence nVision","Port is not officialy registered by IANA for this application"
"12012","TCP","","Audition Online Dance Battle,","Port is not officialy registered by IANA for this application"
"","","","Korea Server?Status/Version Check",""
"12012","","UDP","Audition Online Dance Battle,","Port is not officialy registered by IANA for this application"
"","","","Korea Server?Status/Version Check",""
"12013","TCP","UDP","Audition Online Dance Battle,","Port is not officialy registered by IANA for this application"
"","","","Korea Server",""
"12035","","UDP","Linden Lab viewer to sim on","Port is not officialy registered by IANA for this application"
"","","","SecondLife",""
"12222","","UDP","Light Weight Access Point","Port is officialy registered by IANA for this application"
"","","","Protocol (LWAPP) LWAPP data (RFC 5412)",""
"12223","","UDP","Light Weight Access Point","Port is officialy registered by IANA for this application"
"","","","Protocol (LWAPP) LWAPP control (RFC 5412)",""
"12345","","","NetBus?remote","Port is not officialy registered by IANA for this application"
"","","","administration tool (often Trojan horse). Also used by NetBuster. Little",""
"","","","Fighter 2 (TCP).",""
"12489","TCP","","NSClient/NSClient++/NC_Net","Port is not officialy registered by IANA for this application"
"","","","(Nagios)",""
"12975","TCP","","LogMeIn Hamachi (VPN tunnel","Port is not officialy registered by IANA for this application"
"","","","software; also port 32976)?used to connect to Mediation Server",""
"","","","(bibi.hamachi.cc); will attempt to use SSL (TCP port 443) if both 12975 &",""
"","","","32976 fail to connect",""
"12998?12999","","UDP","Takenaka RDI Mirror World on","Port is not officialy registered by IANA for this application"
"","","","SecondLife",""
"13000?13050","","UDP","Linden Lab viewer to sim on","Port is not officialy registered by IANA for this application"
"","","","SecondLife",""
"13008","TCP","UDP","Cross Fire, a multiplayer online","Port is not officialy registered by IANA for this application"
"","","","First Person Shooter",""
"13075","TCP","","Default 84 for BMC Software Control-M/Enterprise","Port is officialy registered by IANA for this application"
"","","","Manager Corba communication, though often changed during installation",""
"13195-13196","TCP","UDP","Ontolux Ontolux 2D","Port is not officialy registered by IANA for this application"
"13337-13340","TCP","UDP","?therNet peer-to-peer networking","Port is not officialy registered by IANA for this application"
"13720","TCP","UDP","Symantec NetBackup?bprd","Port is officialy registered by IANA for this application"
"","","","(formerly VERITAS)",""
"13721","TCP","UDP","Symantec NetBackup?bpdbm","Port is officialy registered by IANA for this application"
"","","","(formerly VERITAS)",""
"13724","TCP","UDP","Symantec Network","Port is officialy registered by IANA for this application"
"","","","Utility?vnetd (formerly VERITAS)",""
"13782","TCP","UDP","Symantec NetBackup?bpcd","Port is officialy registered by IANA for this application"
"","","","(formerly VERITAS)",""
"13783","TCP","UDP","Symantec VOPIED protocol","Port is officialy registered by IANA for this application"
"","","","(formerly VERITAS)",""
"13785","TCP","UDP","Symantec NetBackup","Port is officialy registered by IANA for this application"
"","","","Database?nbdb (formerly VERITAS)",""
"13786","TCP","UDP","Symantec nomdb (formerly","Port is officialy registered by IANA for this application"
"","","","VERITAS)",""
"14439","TCP","","APRS UI-View Amateur Radio","Port is not officialy registered by IANA for this application"
"","","","85 UI-WebServer",""
"14567","","UDP","Battlefield 1942 and mods","Port is not officialy registered by IANA for this application"
"15000","TCP","","psyBNC","Port is not officialy registered by IANA for this application"
"15000","TCP","","Wesnoth","Port is not officialy registered by IANA for this application"
"15000","TCP","","Kaspersky Network Agent","Port is not officialy registered by IANA for this application"
"15000","TCP","","hydap, Hypack Hydrographic","Port is officialy registered by IANA for this application"
"","","","Software Packages Data Acquisition",""
"15000","","UDP","hydap, Hypack Hydrographic","Port is officialy registered by IANA for this application"
"","","","Software Packages Data Acquisition",""
"15567","","UDP","Battlefield Vietnam and mods","Port is not officialy registered by IANA for this application"
"15345","TCP","UDP","XPilot Contact","Port is officialy registered by IANA for this application"
"16000","TCP","","shroudBNC","Port is not officialy registered by IANA for this application"
"16080","TCP","","Mac OS X Server Web (HTTP)","Port is not officialy registered by IANA for this application"
"","","","service with performance cache 86",""
"16200","TCP","","Oracle Universal Content","Port is not officialy registered by IANA for this application"
"","","","Management Content Server",""
"16250","TCP","","Oracle Universal Content","Port is not officialy registered by IANA for this application"
"","","","Management Inbound Refinery",""
"16384","","UDP","Iron Mountain Digital online","Port is not officialy registered by IANA for this application"
"","","","backup",""
"16567","","UDP","Battlefield 2 and mods","Port is not officialy registered by IANA for this application"
"17500","TCP","","Dropbox LanSync Protocol","Port is officialy registered by IANA for this application"
"","","","(db-lsp); used to synchronize file catalogs between Dropbox clients on your",""
"","","","local network.",""
"17500","","UDP","Dropbox LanSync Discovery","Port is officialy registered by IANA for this application"
"","","","(db-lsp-disc); used to synchronize file catalogs between Dropbox clients on",""
"","","","your local network; is transmitted to broadcast addresses.",""
"18010","TCP","","Super Dancer Online","Port is not officialy registered by IANA for this application"
"","","","Extreme(SDO-X)?CiB Net Station Malaysia Server",""
"18104","TCP","","RAD PDF Service","Port is officialy registered by IANA for this application"
"18180","TCP","","DART Reporting server","Port is not officialy registered by IANA for this application"
"18200","TCP","UDP","Audition Online Dance Battle,","Port is not officialy registered by IANA for this application"
"","","","AsiaSoft Thailand Server?Status/Version Check",""
"18201","TCP","UDP","Audition Online Dance Battle,","Port is not officialy registered by IANA for this application"
"","","","AsiaSoft Thailand Server",""
"18206","TCP","UDP","Audition Online Dance Battle,","Port is not officialy registered by IANA for this application"
"","","","AsiaSoft Thailand Server?FAM Database",""
"18300","TCP","UDP","Audition Online Dance Battle,","Port is not officialy registered by IANA for this application"
"","","","AsiaSoft SEA Server?Status/Version Check",""
"18301","TCP","UDP","Audition Online Dance Battle,","Port is not officialy registered by IANA for this application"
"","","","AsiaSoft SEA Server",""
"18306","TCP","UDP","Audition Online Dance Battle,","Port is not officialy registered by IANA for this application"
"","","","AsiaSoft SEA Server?FAM Database",""
"18333","TCP","","Bitcoin testnet 87","Port is not officialy registered by IANA for this application"
"18400","TCP","UDP","Audition Online Dance Battle,","Port is not officialy registered by IANA for this application"
"","","","KAIZEN Brazil Server?Status/Version Check",""
"18401","TCP","UDP","Audition Online Dance Battle,","Port is not officialy registered by IANA for this application"
"","","","KAIZEN Brazil Server",""
"18505","TCP","UDP","Audition Online Dance Battle,","Port is not officialy registered by IANA for this application"
"","","","Nexon Server?Status/Version Check",""
"18506","TCP","UDP","Audition Online Dance Battle,","Port is not officialy registered by IANA for this application"
"","","","Nexon Server",""
"18605","TCP","UDP","X-BEAT?Status/Version","Port is not officialy registered by IANA for this application"
"","","","Check",""
"18606","TCP","UDP","X-BEAT","Port is not officialy registered by IANA for this application"
"19000","TCP","UDP","Audition Online Dance Battle,","Port is not officialy registered by IANA for this application"
"","","","G10/alaplaya Server?Status/Version Check",""
"19001","TCP","UDP","Audition Online Dance Battle,","Port is not officialy registered by IANA for this application"
"","","","G10/alaplaya Server",""
"19226","TCP","","Panda Software AdminSecure","Port is not officialy registered by IANA for this application"
"","","","Communication Agent",""
"19283","TCP","UDP","K2 ? KeyAuditor & KeyServer,","Port is officialy registered by IANA for this application"
"","","","Sassafras Software Inc. Software Asset Management tools",""
"19294","TCP","","Google Talk Voice and Video","Port is not officialy registered by IANA for this application"
"","","","connections 88",""
"19295","","UDP","Google Talk Voice and Video","Port is not officialy registered by IANA for this application"
"","","","connections 88",""
"19302","","UDP","Google Talk Voice and Video","Port is not officialy registered by IANA for this application"
"","","","connections 88",""
"19315","TCP","UDP","KeyShadow for K2 ? KeyAuditor","Port is officialy registered by IANA for this application"
"","","","& KeyServer, Sassafras Software Inc. Software Asset Management tools",""
"19540","TCP","UDP","Belkin Network USB Hub","Port is not officialy registered by IANA for this application"
"19638","TCP","","Ensim Control Panel","Port is not officialy registered by IANA for this application"
"19771","TCP","UDP","Softros LAN Messenger","Port is not officialy registered by IANA for this application"
"19812","TCP","","4D database SQL Communication","Port is not officialy registered by IANA for this application"
"19813","TCP","","4D database Client Server","Port is not officialy registered by IANA for this application"
"","","","Communication",""
"19814","TCP","","4D database DB4D Communication","Port is not officialy registered by IANA for this application"
"19880","TCP","","Softros LAN Messenger","Port is not officialy registered by IANA for this application"
"19999","","","DNP ? Secure (Distributed","Port is officialy registered by IANA for this application"
"","","","Network Protocol ? Secure), a secure version of the protocol used in SCADA",""
"","","","systems between communicating RTU?s and IED?s",""
"20000","","","DNP (Distributed Network","Port is officialy registered by IANA for this application"
"","","","Protocol), a protocol used in SCADA systems between communicating RTU?s and",""
"","","","IED?s",""
"20000","","","Usermin, Web-based user tool","Port is not officialy registered by IANA for this application"
"20014","TCP","","DART Reporting server","Port is not officialy registered by IANA for this application"
"20560","TCP","UDP","Killing Floor","Port is not officialy registered by IANA for this application"
"20720","TCP","","Symantec i3 Web GUI server","Port is not officialy registered by IANA for this application"
"21001","TCP","","AMLFilter, AMLFilter Inc.","Port is not officialy registered by IANA for this application"
"","","","amlf-admin default port",""
"21011","TCP","","AMLFilter, AMLFilter Inc.","Port is not officialy registered by IANA for this application"
"","","","amlf-engine-01 default http port",""
"21012","TCP","","AMLFilter, AMLFilter Inc.","Port is not officialy registered by IANA for this application"
"","","","amlf-engine-01 default https port",""
"21021","TCP","","AMLFilter, AMLFilter Inc.","Port is not officialy registered by IANA for this application"
"","","","amlf-engine-02 default http port",""
"21022","TCP","","AMLFilter, AMLFilter Inc.","Port is not officialy registered by IANA for this application"
"","","","amlf-engine-02 default https port",""
"22136","TCP","","FLIR Systems Camera Resource","Port is not officialy registered by IANA for this application"
"","","","Protocol",""
"22222","TCP","","Davis Instruments, WeatherLink","Port is not officialy registered by IANA for this application"
"","","","IP",""
"22347","TCP","UDP","WibuKey, WIBU-SYSTEMS AG","Port is officialy registered by IANA for this application"
"","","","Software protection system",""
"22349","TCP","","Wolfson Microelectronics,","Port is not officialy registered by IANA for this application"
"","","","WISCEBridge Debug Protocol",""
"22350","TCP","UDP","CodeMeter, WIBU-SYSTEMS AG","Port is officialy registered by IANA for this application"
"","","","Software protection system",""
"23073","","","Soldat Dedicated Server","Port is not officialy registered by IANA for this application"
"23399","","","Skype Default Protocol","Port is not officialy registered by IANA for this application"
"23513","","","Duke Nukem 3D#Source code Duke","Port is not officialy registered by IANA for this application"
"","","","Nukem Ports",""
"24444","","","NetBeans integrated development","Port is not officialy registered by IANA for this application"
"","","","environment",""
"24465","TCP","UDP","Tonido Directory Server for","Port is officialy registered by IANA for this application"
"","","","Tonido which is a Personal Web App and P2P platform",""
"24554","TCP","UDP","BINKP, Fidonet mail transfers","Port is officialy registered by IANA for this application"
"","","","over TCP/IP",""
"24800","","","Synergy: keyboard/mouse sharing","Port is not officialy registered by IANA for this application"
"","","","software",""
"24842","","","StepMania: Online: Dance Dance","Port is not officialy registered by IANA for this application"
"","","","Revolution Simulator",""
"25000","TCP","","Teamware Office standard client","Port is officialy registered by IANA for this application"
"","","","connection",""
"25003","TCP","","Teamware Office client notifier","Port is officialy registered by IANA for this application"
"25005","TCP","","Teamware Office message transfer","Port is officialy registered by IANA for this application"
"25007","TCP","","Teamware Office MIME Connector","Port is officialy registered by IANA for this application"
"25010","TCP","","Teamware Office Agent server","Port is officialy registered by IANA for this application"
"25565","","","Minecraft Dedicated Server","Port is not officialy registered by IANA for this application"
"25565","","","MySQL Standard MySQL port","Port is not officialy registered by IANA for this application"
"25826","","UDP","collectd default port 89","Port is not officialy registered by IANA for this application"
"25888","","UDP","Xfire (Firewall Report, UDP_IN)","Port is not officialy registered by IANA for this application"
"","","","IP Address (206.220.40.146) resolves to gameservertracking.xfire.com. Use",""
"","","","unknown.",""
"25999","TCP","","Xfire","Port is not officialy registered by IANA for this application"
"26000","","UDP","id Software?s Quake server","Port is officialy registered by IANA for this application"
"26000","TCP","","id Software?s Quake server","Port is officialy registered by IANA for this application"
"26000","TCP","","CCP?s EVE Online Online gaming","Port is not officialy registered by IANA for this application"
"","","","MMORPG",""
"26900","TCP","","CCP?s EVE Online Online gaming","Port is not officialy registered by IANA for this application"
"","","","MMORPG",""
"26901","TCP","","CCP?s EVE Online Online gaming","Port is not officialy registered by IANA for this application"
"","","","MMORPG",""
"27000","","UDP","(through 27006) id Software?s","Port is not officialy registered by IANA for this application"
"","","","QuakeWorld master server",""
"27000-27009","TCP","","FlexNet Publisher?s License","Port is not officialy registered by IANA for this application"
"","","","server (from the range of default ports)",""
"27010","","","Source engine dedicated server","Port is not officialy registered by IANA for this application"
"","","","port",""
"27014","","","Source engine dedicated server","Port is not officialy registered by IANA for this application"
"","","","port (rare)",""
"27015","","","GoldSrc and Source engine","Port is not officialy registered by IANA for this application"
"","","","dedicated server port",""
"27016","","","Magicka server port","Port is not officialy registered by IANA for this application"
"27017","","","mongoDB server port","Port is not officialy registered by IANA for this application"
"27374","","","Sub7 default.","Port is not officialy registered by IANA for this application"
"27500","","UDP","(through 27900) id Software?s","Port is not officialy registered by IANA for this application"
"","","","QuakeWorld",""
"27888","","UDP","Kaillera server","Port is not officialy registered by IANA for this application"
"27900-27901","","","Nintendo Wi-Fi Connection","Port is not officialy registered by IANA for this application"
"27901","","UDP","(through 27910) id Software?s","Port is not officialy registered by IANA for this application"
"","","","Quake II master server",""
"27950","","UDP","OpenArena outgoing","Port is not officialy registered by IANA for this application"
"27960","","UDP","(through 27969) Activision?s","Port is not officialy registered by IANA for this application"
